epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.5793,0.71411,2.47638,1.28853,0.81593,0.98626,0.9275,0.81936,0.32712,1.45619,0.84727,2e-05,2e-05,2e-05
2,29.0545,0.5838,1.6373,1.1813,0.88702,1,0.984,0.91283,0.17484,2.60736,0.74406,5.8812e-05,5.8812e-05,5.8812e-05
3,35.8242,0.45537,1.29987,1.12764,0.96348,1,0.995,0.97669,0.18957,1.60005,0.74011,9.604e-05,9.604e-05,9.604e-05
4,43.3443,0.3147,0.81987,1.00962,0.89275,1,0.984,0.94774,0.25208,0.88778,0.76633,0.000131684,0.000131684,0.000131684
5,51.1697,0.39771,0.63851,0.99791,0.5893,1,0.94,0.90029,0.29628,2.66334,0.78929,0.000165744,0.000165744,0.000165744
6,159.413,0.31935,0.52438,0.91668,0.38725,0.88889,0.81499,0.74276,0.35488,5.1068,0.8146,0.00019822,0.00019822,0.00019822
7,167.551,0.49229,0.80914,1.09971,0.21481,0.88889,0.51277,0.4668,0.4899,7.62169,0.91736,0.000229112,0.000229112,0.000229112
8,201.085,0.59661,0.88057,1.09743,0.1299,0.66667,0.23525,0.20064,0.57392,18.7876,1.05305,0.00025842,0.00025842,0.00025842
9,208.392,0.42995,0.70904,0.96123,0.17839,0.77778,0.42859,0.3515,0.88007,13.3911,1.58014,0.000286144,0.000286144,0.000286144
10,220.233,0.50616,0.68815,1.0911,0.18882,0.44444,0.3879,0.34547,0.94944,6.85794,1.61651,0.000312284,0.000312284,0.000312284
11,283.556,0.41758,0.66143,0.97096,0.32897,0.44444,0.42221,0.34327,1.04219,5.25109,1.43343,0.00033684,0.00033684,0.00033684
12,293.977,0.48946,0.74141,1.01714,0.45103,0.55556,0.50813,0.3816,1.06771,5.13601,1.47688,0.000359812,0.000359812,0.000359812
13,315.881,0.42661,0.54612,0.99661,0.41136,0.66667,0.5026,0.38491,1.00889,4.51486,1.52818,0.0003812,0.0003812,0.0003812
14,335.064,0.49903,0.70548,1.08098,0.57243,0.77778,0.68181,0.42727,1.06329,3.90292,1.62126,0.000401004,0.000401004,0.000401004
15,343.877,0.57172,0.72008,1.11113,0.61622,0.66667,0.69444,0.39931,1.10675,2.72256,1.49006,0.000419224,0.000419224,0.000419224
16,373.19,0.53084,0.79636,1.10477,0.68645,0.44444,0.47712,0.36226,1.19034,2.92347,1.64059,0.00043586,0.00043586,0.00043586
17,405.936,0.48253,0.79103,0.99133,0.93745,0.55556,0.62203,0.3617,1.07911,2.23796,1.47312,0.000450912,0.000450912,0.000450912
18,432.126,0.60796,0.74904,1.14858,0.65066,0.44444,0.48041,0.34074,1.10478,2.27956,1.61527,0.00046438,0.00046438,0.00046438
19,457.421,0.61101,0.69264,1.09259,0.66472,0.55556,0.65657,0.595,0.92131,1.86644,1.41539,0.000476264,0.000476264,0.000476264
20,495.957,0.46069,0.67025,0.99685,0.39409,0.55556,0.64949,0.59776,0.76017,3.62849,1.13806,0.000486564,0.000486564,0.000486564
21,557.441,0.66542,0.91014,1.11523,1,0.64176,0.81437,0.6096,1.08618,1.39023,1.32121,0.00049528,0.00049528,0.00049528
22,615.624,0.42787,0.64858,0.95538,0.6734,0.68911,0.82553,0.47614,1.05305,3.20782,1.43549,0.000502412,0.000502412,0.000502412
23,674.539,0.62655,0.68032,1.13991,0.54521,0.88889,0.67493,0.30559,1.57534,5.58715,2.91171,0.00050796,0.00050796,0.00050796
24,728.815,0.62393,0.71494,1.15817,0.5141,0.55556,0.54871,0.24319,2.01293,3.87737,3.81381,0.000511924,0.000511924,0.000511924
25,838.842,0.55478,0.62058,1.07073,0.55391,0.55556,0.4825,0.23782,2.62197,3.26556,4.53429,0.000514304,0.000514304,0.000514304
26,950.35,0.56862,0.68294,1.06856,0.26563,0.55556,0.40978,0.09848,3.04394,7.67444,4.68071,0.0005151,0.0005151,0.0005151
27,1002.57,0.55318,0.72817,1.03117,0.34116,0.44444,0.45122,0.22023,2.35243,5.82825,3.40932,0.000514312,0.000514312,0.000514312
28,1096.62,0.57634,0.73784,1.15885,0.34116,0.44444,0.45122,0.22023,2.35243,5.82825,3.40932,0.00051194,0.00051194,0.00051194
29,1194.81,0.54064,0.6737,1.08419,0.19192,0.55556,0.39138,0.25294,2.26861,10.2035,4.01624,0.000507984,0.000507984,0.000507984
30,1289.2,0.52978,0.66025,1.06255,0.2022,0.44444,0.32266,0.18125,2.19159,12.8866,4.23962,0.000502444,0.000502444,0.000502444
31,1323.81,0.51845,0.6815,1.04203,0.2022,0.44444,0.32266,0.18125,2.19159,12.8866,4.23962,0.00049532,0.00049532,0.00049532
32,1354.08,0.50942,0.71032,1.09614,0.01071,0.66667,0.00875,0.00449,1.85227,371.321,2.84987,0.000486612,0.000486612,0.000486612
33,1390.74,0.56836,0.62204,1.10203,0.03745,0.44444,0.05909,0.04749,1.36962,17.5303,2.52597,0.00047632,0.00047632,0.00047632
34,1406.49,0.42959,0.5717,0.99958,0.03745,0.44444,0.05909,0.04749,1.36962,17.5303,2.52597,0.000464444,0.000464444,0.000464444
35,1469.67,0.48457,0.60852,1.03926,0.31315,0.66667,0.4521,0.24905,1.51666,4.9888,2.412,0.000450984,0.000450984,0.000450984
36,1603.9,0.42997,0.54352,1.05037,0.23098,0.50201,0.38616,0.28753,1.19957,7.15188,2.35342,0.00043594,0.00043594,0.00043594
37,1650.16,0.4456,0.60246,1.00196,0.23098,0.50201,0.38616,0.28753,1.19957,7.15188,2.35342,0.000419312,0.000419312,0.000419312
38,1747.49,0.51007,0.55089,1.07377,0.2277,0.45931,0.42626,0.28207,1.26415,6.2525,2.32413,0.0004011,0.0004011,0.0004011
39,1779.22,0.44846,0.55265,1.03498,0.43333,0.77778,0.66827,0.42466,1.12323,2.63731,1.85306,0.000381304,0.000381304,0.000381304
40,1786.84,0.41322,0.61406,0.992,0.43333,0.77778,0.66827,0.42466,1.12323,2.63731,1.85306,0.000359924,0.000359924,0.000359924
41,1804.4,0.44064,0.63193,1.00889,0.4815,0.66667,0.60801,0.36517,1.409,1.81932,2.07909,0.00033696,0.00033696,0.00033696
42,1826.12,0.41098,0.60144,1.04693,0.51302,0.66667,0.46488,0.23737,1.48601,3.0664,2.15292,0.000312412,0.000312412,0.000312412
43,1832.67,0.35602,0.60188,0.9776,0.51302,0.66667,0.46488,0.23737,1.48601,3.0664,2.15292,0.00028628,0.00028628,0.00028628
44,1840.29,0.37651,0.56648,0.92587,0.62968,0.77778,0.65764,0.33362,1.45844,1.85202,2.07406,0.000258564,0.000258564,0.000258564
45,1847.75,0.36883,0.49522,0.92006,0.62968,0.77778,0.65764,0.33362,1.45844,1.85202,2.07406,0.000229264,0.000229264,0.000229264
46,1858.62,0.30998,0.48628,0.85917,0.52438,0.88889,0.73137,0.4464,1.14295,1.52852,1.78596,0.00019838,0.00019838,0.00019838
47,1867.27,0.31251,0.44638,0.92057,0.52438,0.88889,0.73137,0.4464,1.14295,1.52852,1.78596,0.000165912,0.000165912,0.000165912
48,1874.77,0.33815,0.43603,0.9822,0.86562,0.7194,0.85527,0.56709,1.07966,1.25655,1.72664,0.00013186,0.00013186,0.00013186
49,1881.75,0.31592,0.40208,0.92401,0.86562,0.7194,0.85527,0.56709,1.07966,1.25655,1.72664,9.6224e-05,9.6224e-05,9.6224e-05
50,1889.2,0.27673,0.36581,0.8647,0.95719,0.77778,0.89804,0.58327,1.0802,1.02734,1.71834,5.9004e-05,5.9004e-05,5.9004e-05
